	trimmer_id	Dropout? Missing	Dropout Resolution
76	K17/24.6	['Dec2020dropout-Both']	['n/a, have good sequence for other subclone elsewhere']
77	K17/70.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
78	K17/70.2	['n/a-n/a']	[nan]
79	K17/70.3	['Dec2020dropout-Both']	['n/a, have good sequence for other subclone elsewhere']
80	K17/70.4	['n/a-n/a']	[nan]
81	K17/70.5	['n/a-n/a']	[nan]
82	K17/70.6	['n/a-n/a']	[nan]
83	K17/70.7	['Dec2020dropout-Both']	['n/a, have good sequence for other subclone elsewhere']
84	K17/70.8	['n/a-n/a']	[nan]
85	K17/70R	['n/a-n/a']	[nan]
86	K19/13.2	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
87	K19/2.4	['n/a-n/a', 'n/a-n/a']	[nan, nan]
88	K19/2.5	['Dec2020dropout-Both']	['? Alternate subs also dropouts']
89	K19/2.6	['Dec2020dropout-Both']	['? Alternate subs also dropouts']
90	K19/36.1	['n/a-n/a', 'n/a-n/a']	[nan, 'n/a, got seq after all']
91	K19/36.3	['n/a-n/a', 'n/a-n/a']	[nan, nan]
92	K19/36.4	['n/a-n/a']	[nan]
93	K19/36.5	['n/a-n/a']	[nan]
94	K19/36.6	['Dec2020dropout-Both']	['n/a, have good sequence for other subclone elsewhere']
95	K19/36R	['n/a-n/a']	[nan]
96	K19/46.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
97	K19/46.2	['n/a-n/a']	[nan]
98	K19/46.3	['n/a-n/a']	[nan]
99	K19/46.4	['n/a-n/a']	[nan]
100	K19/46.5	['n/a-n/a']	[nan]
101	K19/46.6	['n/a-n/a']	[nan]
102	K19/5.1	['n/a-n/a']	[nan]
103	K20/2	['Dec2020dropout-LC']	['n/a, Category 4 parent so skip for now']
104	K20/41	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
105	K20/58	['n/a-n/a']	[nan]
106	K20/59	['n/a-n/a']	[nan]
107	K20/74	['n/a-n/a']	[nan]
108	K20/77.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
109	K20/77.2	['n/a-n/a']	[nan]
110	K20/77.3	['n/a-n/a']	[nan]
111	K20/77.4	['n/a-n/a']	[nan]
112	K20/77.5	['n/a-n/a']	[nan]
113	K20/77.6	['n/a-n/a']	[nan]
