1D8,3
1F1,5
62-3G1,3
8G10,1
A12/18,6
EA7,3
K13/31,5
K14/16,6
K17/70,10
K19/36,8
K20/78,19
K25/73,4
K28/43,9
K28/74,4
K28/86,6
K36/15,7
K37/89,7
K39/25,15
K40/17,4
K47/42,6
K51/1,6
K55/7,9
K55/82,7
K56A/50,3
K57/1,7
K60/73,7
K64/15,4
K65/35,6
K66/38,7
K67/25,7
K69/3,6
K7/45,4
K72/8,4
K73/20,13
K74/71,7
K75/30,7
K75/41,5
K78/29,3
K87A/10,12
K88/64,3
K89/34,7
K9/40,3
K91/36,6
K96/7,3
L102/45,3
L106/4,23
L106/83,13
L106/93,7
L107/39,6
L108/92,6
L109/39,5
L109/57,6
L111/118,7
L113/13,5
L113/130,5
L113/27,4
L114/3,4
L114/81,18
L115/13,3
L117/1,4
L118/66,6
L118/80,9
L119/106,20
L11A/41,4
L120/12,3
L120/30,4
L121/25,7
L121/42,6
L122/6,6
L122/68,10
L123/109,6
L124/59,7
L125/121,7
L125/129,5
L126/93,3
L127/12,5
L127/8,5
L128/43,4
L129/93,3
L129/96,3
L130/1,4
L18A/3,5
L20/8,6
L21/32,7
L23/27,7
L24/18,7
L28/4,8
L36/12,2
L42/17,4
L43/40,4
L45/30,4
L48A/9,8
L5/1,4
L51/82,7
L57/46,7
L6/23,4
L6/48,3
L6/60,4
L60/4,4
L62/29,4
L71/5,7
L76/36,8
L8/15,4
L80/21,6
L83/11,5
L86/33,10
L86/36,7
L86A/37,4
L88/86,4
L94/54,3
N1/12,3
N1/66,3
N10/7,4
N100/13,4
N103/31,2
N103/39,2
N104/32,4
N104/37,3
N105/13,4
N105/17,4
N106/20,4
N106/36,7
N106/43,5
N106/65,3
N11/33,6
N110/29,7
N111/24,4
N112B/14,6
N114/10,7
N116/14,4
N117/9,4
N119/44,3
N120A/9,8
N121A/1,5
N121A/31,4
N123/19,3
N123/48,5
N124B/38,4
N125/10,3
N126B/31,4
N127/31,4
N128A/2,4
N128A/4,6
N129/15,4
N129A/6,3
N132A/12,3
N133/21,7
N133/35,3
N134/12,6
N135/37,6
N138/6,4
N140A/12,3
N141/28,8
N142/28,2
N143/36,5
N143/38,3
N144/14,3
N144/17,3
N144/32,3
N145/20,2
N147/6,4
N148/30,5
N149/25,4
N15/39,2
N15/4,3
N150/21,5
N151/3,4
N152B/23,4
N153/5,4
N154/32,4
N155/9,5
N158/28,6
N159/5,4
N160/21,4
N161/20,4
N164/6,4
N165/38,4
N165/43,3
N166A/26,3
N167/7,4
N168/6,4
N16B/8,7
N170A/1,4
N170A/26,2
N171/17,4
N173B/13,3
N174B/27,4
N175/9,4
N176A/35,5
N178A/9,6
N18/28,9
N18/30,8
N182/17,4
N183/15,4
N185/7,6
N186/29,6
N19/2,5
N191/7,3
N192/12,2
N193A/13,4
N194/11,3
N195A/16,4
N196/16,4
N2/16,4
N201/35,4
N202/7,2
N205B/22,4
N206A/8,3
N206B/9,8
N207/27,4
N209C/35,3
N210/5,3
N212/17,5
N212/3,5
N212/7,5
N212A/34,3
N219/5,3
N22/21,6
N221/12,3
N221/17,3
N222/6,4
N225A/10,3
N227/21,3
N228A/16,2
N229A/32,13
N230/21,3
N231B/34,5
N232/9,2
N233/8,4
N235/22,5
N238/29,3
N238/30,5
N238/31,4
N23B/49,6
N23B/6,6
N241A/34,3
N244/5,4
N245/1,5
N245/36,3
N245/44,4
N25/35,5
N250/21,5
N251/14,3
N253/32,3
N255/38,5
N257/25,3
N258/5,2
N259/48,3
N262/16,3
N263/31,3
N268/19,3
N269/73,5
N26A/23,5
N270/47,4
N271/44,2
N274/8,4
N275/14,5
N276A/15,5
N277/7,4
N278/19,7
N279B/27,13
N28/9,4
N283/7,5
N286/74,3
N289/16,4
N29/29,5
N290B/25,3
N291C/22,4
N293/50,4
N294A/10,3
N294A/6,3
N295B/66,6
N297/59,4
N299/39,5
N3/26,5
N302/10,2
N304B/115,3
N307/12,3
N308/48,21
N309A/21,3
N310/21,3
N312/10,6
N319A/14,4
N319A/34,1
N320/48,4
N321C/49,4
N323A/31,2
N323B/20,10
N324/2,1
N325B/65,2
N326D/13,5
N326D/2,3
N326D/29,5
N327/95,3
N327A/38,8
N328B/37,3
N330A/51,3
N330A/80,4
N331/19,4
N332B/15,2
N336B/83,2
N34/34,5
N341/12,3
N341/37,5
N343/26,3
N345/51,5
N346/9,4
N347/42,2
N348/82,4
N349/96,2
N351/23,4
N351/24,5
N353/13,4
N355/1,5
N356/23,3
N356/9,2
N357/6,6
N358/68,5
N359/28,3
N360A/24,3
N363/71,3
N364/10,3
N364/42,5
N366/60,5
N367/51,5
N367/62,4
N372B/1,3
N372B/60,7
N372C/51,6
N374/48,3
N375/67,2
N377/20,6
N377/83,3
N37A/10,3
N38/8,7
N380/87,2
N382/14,3
N382/69,3
N384/63,3
N385/21,6
N388A/10,6
N388A/27,5
N388A/60,6
N389/9,3
N390/43,3
N391/68,3
N393/2,3
N393/76,3
N395/68,5
N396/29,4
N397/19,9
N398A/34,4
N399/19,5
N39B/8,4
N4/15,3
N4/19,3
N4/49,3
N400/24,4
N402/13,3
N402/46,3
N403/63,3
N405/74,3
N406/47,15
N408/62,3
N408/79,4
N40B/18,6
N410/17,13
N411/51,3
N413/67,6
N414/25,5
N415/24,8
N416/40,6
N419/40,4
N419/78,4
N420/24,17
N421A/85,3
N422/18,5
N423/75,5
N424/45,6
N424/48,12
N425/45,3
N428/12,3
N429/19,2
N43/6,7
N431/64,10
N432/21,3
N432/63,3
N440/21,4
N440/61,5
N441/35,3
N442/28,3
N444/63,4
N445/27,3
N446/80,2
N447/24,8
N448/50,6
N448/88,5
N449/73,2
N450/53,5
N451/73,2
N452/30,2
N452/69,11
N452/73,5
N454/91,3
N455/15,1
N456/39,2
N458/10,2
N459/84,3
N46/30,6
N460/19,2
N461/19,2
N463/52,2
N465/11,2
N466/14,3
N467/1,8
N468/37,2
N469/28,3
N470/22,2
N471/27,4
N472/88,3
N473/36,4
N474/27,2
N476/9,3
N479/107,3
N479/12,3
N479/22,3
N483/126,3
N483/26,2
N483/84,4
N485/22,5
N486/32,7
N486/76,6
N490/24,3
N49A/21,4
N50/36,3
N51/6,4
N52A/42,4
N52B/27,4
N53/32,6
N55/10,7
N56/21,3
N56/9,4
N57/2,6
N59/20,6
N59/36,6
N6/38,3
N64A/36,4
N65/37,4
N67/15,3
N68/6,6
N69/46,7
N7/18,4
N70/28,5
N71/37,8
N72/16,7
N74/25,4
N75/3,2
N75/33,2
N76/3,4
N76/8,4
N77/15,4
N81/2,6
N81/37,4
N83/48,4
N84/37,3
N85/18,4
N86/20,5
N86/38,7
N86/44,6
N86/8,31
N87/25,12
N88/12,3
N8B/1,4
N90/20,2
N91/27,4
N92/14,4
N93A/49,4
N94/17,3
N95/35,7
N96/55,7
N97A/31,7
N98/47,6
N98/7,6
UNC65,2
