sample_name	plate_location	trimmer_id	volume	concentration	comments	amplicon_concentration	failure	inline_index_name	inline_index	LCs.Reported	HCs.Reported
P17_A1	A1	positivecontrol1_N91/27.1	60.8	15		6.97	NA	NA	NA	1	1
P17_B1	B1	N278/19.2	10	15	Concentration below 15ng/ÂµL	7.04	NA	NA	NA	1	1
P17_C1	C1	N278/16.3	20.2	15		5.98	NA	NA	NA	1	1
P17_D1	D1	N23B/24.5	31.8	15		2.52	NA	NA	NA	NA	NA
P17_E1	E1	N23B/9.1	19.2	15		3.56	NA	NA	NA	1	1
P17_F1	F1	N69/38.5	44.4	15		10.74	NA	NA	NA	1	1
P17_G1	G1	L125/18.5	50.8	15		8.87	NA	NA	NA	1	1
P17_H1	H1	L125/76.1	37.9	15		6.63	NA	NA	NA	1	1
P17_A2	A2	L111/43.1	10.2	15		8.23	NA	NA	NA	1	1
P17_B2	B2	N278/19.3	54	15		6.51	NA	NA	NA	1	1
P17_C2	C2	N278/19.1	30.8	15		9.3	NA	NA	NA	1	1
P17_D2	D2	N23B/69.1	30.4	15		3.68	NA	NA	NA	1	1
P17_E2	E2	N23B/6.2	18.9	15		5.07	NA	NA	NA	1	1
P17_F2	F2	N69/46.2	46.1	15		6.23	NA	NA	NA	1	1
P17_G2	G2	L125/18.6	19.9	15		3.3	NA	NA	NA	1	1
P17_H2	H2	L125/76.3	36.4	15		9.34	NA	NA	NA	1	1
P17_A3	A3	L111/43.2	10	15	Concentration below 15ng/ÂµL	9.22	NA	NA	NA	1	1
P17_B3	B3	N278/19.4	52.8	15		5.68	NA	NA	NA	1	1
P17_C3	C3	L111/129.3.2	65.8	15		3.83	NA	NA	NA	NA	NA
P17_D3	D3	N23B/69.3	67.2	15		7.48	NA	NA	NA	1	1
P17_E3	E3	N23B/6.3	22	15		5.75	NA	NA	NA	1	1
P17_F3	F3	N69/46.3	25	15		12.39	NA	NA	NA	1	1
P17_G3	G3	L125/18.7	59.9	15		4.69	NA	NA	NA	1	NA
P17_H3	H3	L125/115.1	20.8	15		10.54	NA	NA	NA	1	1
P17_A4	A4	L111/43.3	10	15	Concentration below 15ng/ÂµL	2.93	NA	NA	NA	1	1
P17_B4	B4	N278/9.1	35.8	15		10.55	NA	NA	NA	1	1
P17_C4	C4	L111/129.3.3	77.5	15		5.21	NA	NA	NA	NA	NA
P17_D4	D4	N23B/69.4	10	15	Concentration below 15ng/ÂµL	1.54	NA	NA	NA	1	1
P17_E4	E4	N23B/6.4	23	15		5.23	NA	NA	NA	1	1
P17_F4	F4	N69/46.4	53.2	15		10.72	NA	NA	NA	1	1
P17_G4	G4	L125/118.1	29.2	15		4.51	NA	NA	NA	NA	NA
P17_H4	H4	L125/115.2	27.4	15		10.2	NA	NA	NA	1	1
