sample_name	plate_location	trimmer_id	volume	concentration	comments	amplicon_concentration	failure	inline_index_name	inline_index	LCs.Reported	HCs.Reported
P17_A5	A5	L111/43.4	12.6	15		4.4	NA	NA	NA	1	1
P17_B5	B5	N278/9.2	11.8	15		4.07	NA	NA	NA	1	NA
P17_C5	C5	positivecontrol2	10	15	Concentration below 15ng/ÂµL	1.85	NA	NA	NA	NA	NA
P17_D5	D5	N23B/69.5	23	15		7.21	NA	NA	NA	1	1
P17_E5	E5	N23B/49.2	51.1	15		7.42	NA	NA	NA	1	1
P17_F5	F5	N69/46.5	61.5	15		10.48	NA	NA	NA	1	1
P17_G5	G5	L125/118.2	67	15		10.5	NA	NA	NA	1	NA
P17_H5	H5	L125/129.4	19.7	15		8.5	NA	NA	NA	1	1
P17_A6	A6	L111/43.5	10	15	Concentration below 15ng/ÂµL	6.3	NA	NA	NA	1	1
P17_B6	B6	N278/9.4	45.9	15		8.81	NA	NA	NA	1	1
P17_C6	C6	L111/129.3.4	89.1	15		12.86	NA	NA	NA	NA	1
P17_D6	D6	L125/76.2	59.3	15		21.11	NA	NA	NA	1	1
P17_E6	E6	N23B/49.3	19	15		7.73	NA	NA	NA	1	1
P17_F6	F6	L125/76.6	10	15	Concentration below 15ng/ÂµL	14.53	NA	NA	NA	1	1
P17_G6	G6	L119/40.1	46.4	15		9.27	NA	NA	NA	1	NA
P17_H6	H6	L125/129.5	19	15		9.94	NA	NA	NA	1	1
P17_A7	A7	L111/73.1	10	15	Concentration below 15ng/ÂµL	2.9	NA	NA	NA	1	2
P17_B7	B7	N278/9.5	29.6	15		11.62	NA	NA	NA	1	1
P17_C7	C7	L111/129.3.5	83.4	15		6.76	NA	NA	NA	NA	1
P17_D7	D7	L125/76.4	37	15		10.43	NA	NA	NA	1	1
P17_E7	E7	N23B/49.4	10	15		8.96	NA	NA	NA	1	1
P17_F7	F7	L125/121.5	82.8	15		12.15	NA	NA	NA	NA	1
P17_G7	G7	L119/40.2	36	15		4.56	NA	NA	NA	1	NA
P17_H7	H7	L125/76.5	33.8	15		10.49	NA	NA	NA	1	1
P17_A8	A8	L111/73.2	10	15	Concentration below 15ng/ÂµL	6.05	NA	NA	NA	1	1
P17_B8	B8	N278/11.1	10	15	Concentration below 15ng/ÂµL	6.27	NA	NA	NA	1	1
P17_C8	C8	L111/129.3.6	51.5	15		7.38	NA	NA	NA	NA	NA
P17_D8	D8	L125/76.8	9.6	15		11.74	NA	NA	NA	1	1
P17_E8	E8	N69/10.2	15.7	15		7.54	NA	NA	NA	1	1
P17_F8	F8	L125/129.2	10.5	15		12.55	NA	NA	NA	1	1
P17_G8	G8	L119/40.3	10	15	Concentration below 15ng/ÂµL	5.38	NA	NA	NA	1	NA
P17_H8	H8	N278/9.3	44.5	15		6.67	NA	NA	NA	1	1
P17_A9	A9	L111/73.3	10	15	Concentration below 15ng/ÂµL	4.32	NA	NA	NA	1	1
P17_B9	B9	N278/11.2	20.7	15		10.91	NA	NA	NA	1	1
P17_C9	C9	L111/129.3.1	34.4	15		8.66	NA	NA	NA	NA	2
P17_D9	D9	L125/121.2	58.8	15		2.62	NA	NA	NA	NA	1
P17_E9	E9	N69/38.1	27.2	15		10.73	NA	NA	NA	1	1
P17_F9	F9	L125/18.1	43.4	15		7.33	NA	NA	NA	1	1
P17_G9	G9	L119/40.4	52.2	15		7.99	NA	NA	NA	1	1
P17_H9	H9	K20/78.2	15.9	15		8.81	NA	NA	NA	1	1
P17_A10	A10	L111/129.1	57.8	15		6.4	NA	NA	NA	1	NA
P17_B10	B10	N278/11.3	26	15		8.86	NA	NA	NA	1	1
P17_C10	C10	N23B/24.1	88.9	15		4.89	NA	NA	NA	1	1
P17_D10	D10	L125/121.3	69.7	15		11.3	NA	NA	NA	2	1
P17_E10	E10	N69/38.2	10	15	Concentration below 15ng/ÂµL	14.21	NA	NA	NA	1	1
P17_F10	F10	L125/18.2	30.9	15		6.32	NA	NA	NA	NA	NA
P17_G10	G10	L125/76.7	36.6	15		10.18	NA	NA	NA	1	1
P17_H10	H10	K89/41.1	43.8	15		8.04	NA	NA	NA	1	1
P17_A11	A11	L111/129.2	47.9	15		4.96	NA	NA	NA	NA	NA
P17_B11	B11	N278/16.1	16	15		11.8	NA	NA	NA	2	2
P17_C11	C11	N23B/24.2	11.7	15		4.5	NA	NA	NA	1	1
P17_D11	D11	L125/115.4	23.3	15		11.7	NA	NA	NA	1	1
P17_E11	E11	N69/38.3	37.2	15		12.51	NA	NA	NA	1	1
P17_F11	F11	L125/18.3	50.8	15		7.68	NA	NA	NA	2	1
P17_G11	G11	L125/115.3	18.3	15		8.28	NA	NA	NA	1	1
P17_H11	H11	negativecontrol	10	15	Concentration below 15ng/ÂµL	4.49	NA	NA	NA	NA	NA
P17_A12	A12	L111/129.3	40.3	15		6.49	NA	NA	NA	NA	NA
P17_B12	B12	N278/16.2	16	15		10.74	NA	NA	NA	1	1
P17_C12	C12	N23B/24.4	6.1	15		4.34	NA	NA	NA	NA	NA
P17_D12	D12	L125/115.5	8.7	15		13.28	NA	NA	NA	1	1
P17_E12	E12	N69/38.4	20.5	15		12.23	NA	NA	NA	1	1
P17_F12	F12	L125/18.4	16.5	15		10.65	NA	NA	NA	1	1
P17_G12	G12	L125/121.4	31.7	15		12.81	NA	NA	NA	1	1
P17_H12	H12	negativecontrol	0.8	15		3.74	NA	NA	NA	NA	NA
