sample_name	plate_location	trimmer_id	volume	concentration	comments	amplicon_concentration	failure	inline_index_name	inline_index	LCs.Reported	HCs.Reported
P34_A1	A1	positivecontrol1_L42_17_1	17.9	20		NA	NA	NA	NA	1	1
P34_B1	B1	N39B/22.1	12	20		NA	NA	NA	NA	1	1
P34_C1	C1	N90/26.1	12	20		NA	NA	NA	NA	1	NA
P34_D1	D1	N135/15.1.1	20	20		NA	NA	NA	NA	1	1
P34_E1	E1	N140A/18.1.1	7.9	15.9	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	NA
P34_F1	F1	N143/42.1	5.4	10.7	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
P34_G1	G1	N117/3.1	15.7	20		NA	NA	NA	NA	1	1
P34_H1	H1	N148/10.1	23.6	20		NA	NA	NA	NA	1	1
P34_A2	A2	N84/1.5	26.5	20		NA	NA	NA	NA	NA	1
P34_B2	B2	N39B/2.3	10.1	20		NA	NA	NA	NA	1	NA
P34_C2	C2	N94/48.1	15.2	20		NA	NA	NA	NA	1	1
P34_D2	D2	N138/1.1	14.4	20		NA	NA	NA	NA	1	1
P34_E2	E2	N138A/39.1	8.1	16.3	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	NA
P34_F2	F2	N148/27.1	30.7	20		NA	NA	NA	NA	1	1
P34_G2	G2	N117/11.1	5.8	11.7	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
P34_H2	H2	N148/14.1	18.6	20		NA	NA	NA	NA	NA	1
P34_A3	A3	N104/23.1	7.3	14.7	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_B3	B3	N56/33.1	13.5	20		NA	NA	NA	NA	1	1
P34_C3	C3	N125/28.1	15.4	20		NA	NA	NA	NA	1	1
P34_D3	D3	N138/28.1	6.8	13.6	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	NA
P34_E3	E3	N138A/58.1	9.9	19.8	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	NA
P34_F3	F3	N103A/37.1	28.8	20		NA	NA	NA	NA	1	1
P34_G3	G3	N117/20.1	27.4	20		NA	NA	NA	NA	1	1
P34_H3	H3	N133/11.1	48.2	20		NA	NA	NA	NA	1	1
P34_A4	A4	N104/18.1	8.3	16.5	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_B4	B4	N56/43.1	10.5	20		NA	NA	NA	NA	1	1
P34_C4	C4	N127/2.4	13.3	20		NA	NA	NA	NA	1	1
P34_D4	D4	N140/1.1	16.1	20		NA	NA	NA	NA	1	NA
P34_E4	E4	N138A/43.3	13.4	20		NA	NA	NA	NA	1	NA
P34_F4	F4	N103/38.1	21.9	20		NA	NA	NA	NA	1	1
P34_G4	G4	N123/23.2	12.4	20		NA	NA	NA	NA	NA	1
P34_H4	H4	N133/55.2	28.2	20		NA	NA	NA	NA	1	1
P34_A5	A5	N103/1.1	37.3	20		NA	NA	NA	NA	1	1
P34_B5	B5	N39B/9.1	11.9	20		NA	NA	NA	NA	1	1
P34_C5	C5	N127/24.3	11.5	20		NA	NA	NA	NA	1	1
P34_D5	D5	N138/41.1	9.3	18.6	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	1
P34_E5	E5	N138A/53.1	19.6	20		NA	NA	NA	NA	1	1
P34_F5	F5	N105/2.1	12.7	20		NA	NA	NA	NA	NA	1
P34_G5	G5	N123/37.2	5.2	10.4	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	1
P34_H5	H5	N116/26.1	27.7	20		NA	NA	NA	NA	1	1
P34_A6	A6	N39/17.1	21.2	20		NA	NA	NA	NA	2	NA
P34_B6	B6	N88/10.1	34.8	20		NA	NA	NA	NA	1	1
P34_C6	C6	N125/7.1	13.9	20		NA	NA	NA	NA	1	1
P34_D6	D6	N142/3.1	8.3	16.6	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_E6	E6	N138A/31.2	6.9	13.7	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_F6	F6	N116/6.1	17	20		NA	NA	NA	NA	1	1
P34_G6	G6	N111/27.1	43.5	20		NA	NA	NA	NA	1	1
P34_H6	H6	N116/31.1	40.8	20		NA	NA	NA	NA	1	1
P34_A7	A7	N76/7.1	12	20		NA	NA	NA	NA	1	1
P34_B7	B7	N52b/13.1	18.6	20		NA	NA	NA	NA	1	1
P34_C7	C7	N125/23.1	9.4	18.7	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_D7	D7	N145/16.1	6.9	13.9	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_E7	E7	N138A/5.4	6.5	13.1	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_F7	F7	N116/10.1	18.1	20		NA	NA	NA	NA	1	1
P34_G7	G7	N111/48.1	27.4	20		NA	NA	NA	NA	1	NA
P34_H7	H7	N129A/24.1	33.3	20		NA	NA	NA	NA	NA	1
P34_A8	A8	N56/22.1	17.2	20		NA	NA	NA	NA	1	1
P34_B8	B8	N83/53.1	9.3	18.6	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_C8	C8	N125/14.1	16.9	20		NA	NA	NA	NA	1	1
P34_D8	D8	N140/28.1	10.1	20		NA	NA	NA	NA	1	NA
P34_E8	E8	N138A/35.1	13.7	20		NA	NA	NA	NA	1	1
P34_F8	F8	N133/40.1	15.6	20		NA	NA	NA	NA	1	1
P34_G8	G8	N119/13.1	5.3	10.5	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_H8	H8	N129A/29.1	13.5	20		NA	NA	NA	NA	1	1
P34_A9	A9	N56/44.1	12.2	20		NA	NA	NA	NA	1	1
P34_B9	B9	N84/22.1	7.8	15.6	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	NA
P34_C9	C9	N127/7.2	7.1	14.2	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_D9	D9	N142/17.1	9.8	19.5	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
P34_E9	E9	N142A/27.2	11.8	20		NA	NA	NA	NA	1	NA
P34_F9	F9	N129/26.1	20	20		NA	NA	NA	NA	1	1
P34_G9	G9	N119/24.1	30.4	20		NA	NA	NA	NA	1	1
P34_H9	H9	N183/24.1.1	38.5	20		NA	NA	NA	NA	1	1
P34_A10	A10	N39B/19.1	8	15.9	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_B10	B10	N91/2.1	11.2	20		NA	NA	NA	NA	1	1
P34_C10	C10	N127/27.3	6.2	12.4	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_D10	D10	positivecontrol2	6.6	13.2	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
P34_E10	E10	N142A/28.1	13.3	20		NA	NA	NA	NA	1	1
P34_F10	F10	N133/8.1	8.3	16.6	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_G10	G10	N119/33.1	48.8	20		NA	NA	NA	NA	1	1
P34_H10	H10	N129A/28.1.1	15.8	20		NA	NA	NA	NA	1	1
P34_A11	A11	N39B/20.1	8.5	17	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_B11	B11	N91/13.1	14.2	20		NA	NA	NA	NA	1	1
P34_C11	C11	N135/22.1	8	16	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_D11	D11	N145/27.1	13.4	20		NA	NA	NA	NA	1	1
P34_E11	E11	N142A/33.1	7.4	14.7	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
P34_F11	F11	N133/53.1	29.6	20		NA	NA	NA	NA	1	1
P34_G11	G11	N119/46.1	58.8	20		NA	NA	NA	NA	1	1
P34_H11	H11	negativecontrol1	5.5	11.1	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
P34_A12	A12	N39B/24.1	7.7	15.4	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_B12	B12	N92/22.1	12.9	20		NA	NA	NA	NA	1	1
P34_C12	C12	N135/13.1	16	20		NA	NA	NA	NA	1	1
P34_D12	D12	N140A/4.1	15.1	20		NA	NA	NA	NA	1	1
P34_E12	E12	N85/25.1	7.7	15.5	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_F12	F12	N133/63.1	17.2	20		NA	NA	NA	NA	1	1
P34_G12	G12	N148.5.1	5.2	10.5	[RNA]<20ng/Âµl	NA	NA	NA	NA	1	1
P34_H12	H12	negativecontrol2	5.5	11	[RNA]<20ng/Âµl	NA	NA	NA	NA	NA	NA
