sample_name	plate_location	trimmer_id	volume	concentration	comments	amplicon_concentration	failure	inline_index_name	inline_index	LCs.Reported	HCs.Reported
P24_A1	A1	positivecontrol1_N29/29.1	13	20		NA	NA	NA	NA	1	1
P24_B1	B1	K19/46.4	28.5	20		NA	NA	NA	NA	1	1
P24_C1	C1	N21/13.2	18.5	20		NA	NA	NA	NA	1	1
P24_D1	D1	N423/42.2	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_E1	E1	N447/23.6	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_F1	F1	N372/65.2	38.5	20		NA	NA	NA	NA	NA	1
P24_G1	G1	N372A/21.5	33	20		NA	NA	NA	NA	1	1
P24_H1	H1	N447/16.2	27.5	20		NA	NA	NA	NA	1	1
P24_A2	A2	K37/89.1	50	20		NA	NA	NA	NA	1	1
P24_B2	B2	K19/46.5	20.5	20		NA	NA	NA	NA	1	1
P24_C2	C2	N21/13.3	22	20		NA	NA	NA	NA	1	1
P24_D2	D2	N447/23.1	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_E2	E2	N366/12.3	10	20		NA	NA	NA	NA	1	1
P24_F2	F2	N372/65.3	59	20		NA	NA	NA	NA	NA	1
P24_G2	G2	N372A/1.4	49.5	20		NA	NA	NA	NA	1	1
P24_H2	H2	N447/16.3	75.5	20		NA	NA	NA	NA	1	1
P24_A3	A3	K37/89.2	28	20		NA	NA	NA	NA	1	1
P24_B3	B3	K19/46.6	14.5	20		NA	NA	NA	NA	1	1
P24_C3	C3	N21/13.4	18.5	20		NA	NA	NA	NA	1	1
P24_D3	D3	N447/24.1	14	20		NA	NA	NA	NA	1	1
P24_E3	E3	N366/12.5	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_F3	F3	N372/65.1	63.5	20		NA	NA	NA	NA	NA	1
P24_G3	G3	N372A/1.1	60.5	20		NA	NA	NA	NA	1	1
P24_H3	H3	N447/16.4	54.5	20		NA	NA	NA	NA	1	2
P24_A4	A4	K37/89.3	27	20		NA	NA	NA	NA	1	1
P24_B4	B4	K19/2.4	14	20		NA	NA	NA	NA	1	NA
P24_C4	C4	N21/13.5	18.5	20		NA	NA	NA	NA	1	1
P24_D4	D4	N447/24.2	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_E4	E4	N366/12.6	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	NA
P24_F4	F4	N372/1.3	13.5	20		NA	NA	NA	NA	1	1
P24_G4	G4	N372A/1.2	33.5	20		NA	NA	NA	NA	1	1
P24_H4	H4	N447/16.5	54.5	20		NA	NA	NA	NA	1	1
