sample_name	plate_location	trimmer_id	volume	concentration	comments	amplicon_concentration	failure	inline_index_name	inline_index	LCs.Reported	HCs.Reported
P24_A5	A5	K37/89.4	36.5	20		NA	NA	NA	NA	1	1
P24_B5	B5	K19/2.5	10.5	20		NA	NA	NA	NA	NA	NA
P24_C5	C5	N21/13.6	25	20		NA	NA	NA	NA	1	1
P24_D5	D5	N447/24.7	10.5	20		NA	NA	NA	NA	1	1
P24_E5	E5	N366/60.6	12.5	20		NA	NA	NA	NA	1	1
P24_F5	F5	N372/1.4	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_G5	G5	N372A/1.5	71	20		NA	NA	NA	NA	1	1
P24_H5	H5	N447/41.2	15.5	20		NA	NA	NA	NA	1	1
P24_A6	A6	K19/36.3	25	20		NA	NA	NA	NA	1	NA
P24_B6	B6	K19/2.6	20	20		NA	NA	NA	NA	NA	NA
P24_C6	C6	N21/32.2	16	20		NA	NA	NA	NA	1	1
P24_D6	D6	N447/24.9	16.5	20		NA	NA	NA	NA	1	1
P24_E6	E6	N366/12.1.1	85.5	20		NA	NA	NA	NA	1	1
P24_F6	F6	N372B/59.1.1	14	20		NA	NA	NA	NA	1	NA
P24_G6	G6	N372B/51.4	57	20		NA	NA	NA	NA	1	1
P24_H6	H6	N447/41.3	44.5	20		NA	NA	NA	NA	1	1
P24_A7	A7	K19/36.4	24	20		NA	NA	NA	NA	1	NA
P24_B7	B7	L23/27.2	26.5	20		NA	NA	NA	NA	1	1
P24_C7	C7	N21/32.3	10.5	20		NA	NA	NA	NA	1	1
P24_D7	D7	N361/60.2	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	NA	1
P24_E7	E7	N372/1.1	60.5	20		NA	NA	NA	NA	1	1
P24_F7	F7	N372B/59.1.2	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_G7	G7	N447/23.3a	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_H7	H7	N447/47.2	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_A8	A8	K19/36.5	22.5	20		NA	NA	NA	NA	1	NA
P24_B8	B8	L23/27.3	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_C8	C8	N21/32.4	35	20		NA	NA	NA	NA	1	1
P24_D8	D8	N361/60.3	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_E8	E8	N372/1.2	18.5	20		NA	NA	NA	NA	2	2
P24_F8	F8	N372B/60.1	15.5	20		NA	NA	NA	NA	1	1
P24_G8	G8	N447/23.5	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_H8	H8	N447/47.5	22	20		NA	NA	NA	NA	1	1
P24_A9	A9	K19/36.6	26.5	20		NA	NA	NA	NA	NA	NA
P24_B9	B9	L23/27.4	19	20		NA	NA	NA	NA	1	1
P24_C9	C9	N21/32.5	20	20		NA	NA	NA	NA	1	1
P24_D9	D9	N361/60.5	12.5	20		NA	NA	NA	NA	NA	1
P24_E9	E9	N372/6.1	10.5	20		NA	NA	NA	NA	1	1
P24_F9	F9	N372B/60.3	13.5	20		NA	NA	NA	NA	1	1
P24_G9	G9	N447/23.11	9.5	20		NA	NA	NA	NA	1	1
P24_H9	H9	N366/12.1.2	12.5	20		NA	NA	NA	NA	1	1
P24_A10	A10	K19/46.1	44	20		NA	NA	NA	NA	NA	1
P24_B10	B10	L23/27.5	25.5	20		NA	NA	NA	NA	1	1
P24_C10	C10	N21/32.6	17.5	20		NA	NA	NA	NA	1	1
P24_D10	D10	N361/12.1	22	20		NA	NA	NA	NA	1	2
P24_E10	E10	N372/6.2	60.5	20		NA	NA	NA	NA	NA	1
P24_F10	F10	N372A/21.2	47.5	20		NA	NA	NA	NA	1	1
P24_G10	G10	N447/23.2	11	20		NA	NA	NA	NA	1	NA
P24_H10	H10	N447/23.10	12.5	20		NA	NA	NA	NA	1	1
P24_A11	A11	K19/46.2	34.5	20		NA	NA	NA	NA	1	1
P24_B11	B11	L23/27.6	34	20		NA	NA	NA	NA	NA	1
P24_C11	C11	N21/32.1	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	1	1
P24_D11	D11	N361/12.2	44	20		NA	NA	NA	NA	1	1
P24_E11	E11	N372/32.1	79	20		NA	NA	NA	NA	NA	1
P24_F11	F11	N372A/21.3	12	20		NA	NA	NA	NA	1	1
P24_G11	G11	N447/23.3b	11.5	20		NA	NA	NA	NA	1	1
P24_H11	H11	negativecontrol	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	NA	NA
P24_A12	A12	K19/46.3	23.5	20		NA	NA	NA	NA	1	1
P24_B12	B12	N21/13.1	27	20		NA	NA	NA	NA	1	1
P24_C12	C12	positivecontrol2	10	20		NA	NA	NA	NA	NA	NA
P24_D12	D12	N361/60.4	40	20		NA	NA	NA	NA	1	1
P24_E12	E12	N372/32.2	20	20		NA	NA	NA	NA	NA	1
P24_F12	F12	N372A/21.4	48	20		NA	NA	NA	NA	1	1
P24_G12	G12	N447/16.1	47	20		NA	NA	NA	NA	1	1
P24_H12	H12	negativecontrol	10	20	Concentration below 20ng/ÂµL	NA	NA	NA	NA	NA	NA
