sample_name	plate_location	trimmer_id	volume	concentration	comments	amplicon_concentration	failure	inline_index_name	inline_index	LCs.Reported	HCs.Reported
P15_A1	A1	positivecontrol1_N222/6.2.9	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_B1	B1	L107/90.4.7	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_C1	C1	L117/52.1	8	20	concentration below 20	NA	NA	NA	NA	NA	NA
P15_D1	D1	N97A/32.2	18.5	20		NA	NA	NA	NA	1	1
P15_E1	E1	L107/89.1	28.5	20		NA	NA	NA	NA	1	NA
P15_F1	F1	L107/50.1.2	61	20		NA	NA	NA	NA	1	1
P15_G1	G1	L117/52.2.2	10	20	concentration below 20	NA	NA	NA	NA	NA	NA
P15_H1	H1	L113/60.1	11.5	20		NA	NA	NA	NA	1	1
P15_A2	A2	L107/95.1	14.5	20		NA	NA	NA	NA	1	1
P15_B2	B2	L107/90.4.8	19.5	20		NA	NA	NA	NA	1	1
P15_C2	C2	L117/52.2	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_D2	D2	N97A/32.3	26	20		NA	NA	NA	NA	1	1
P15_E2	E2	L107/89.2	64	20		NA	NA	NA	NA	1	1
P15_F2	F2	L107/50.1.3	59	20		NA	NA	NA	NA	1	1
P15_G2	G2	L117/52.2.3	10	20	concentration below 20	NA	NA	NA	NA	NA	1
P15_H2	H2	L113/60.2	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_A3	A3	L107/95.2	20.5	20		NA	NA	NA	NA	1	1
P15_B3	B3	L107/90.4.15	20.5	20		NA	NA	NA	NA	NA	NA
P15_C3	C3	positivecontrol2	10	20	concentration below 20	NA	NA	NA	NA	1	NA
P15_D3	D3	N97A/32.4	11	20		NA	NA	NA	NA	1	1
P15_E3	E3	L107/89.1.1	3.5	20	concentration below 20	NA	NA	NA	NA	1	NA
P15_F3	F3	L107/56.4	52	20		NA	NA	NA	NA	1	NA
P15_G3	G3	L117/52.2.4	11.5	20		NA	NA	NA	NA	1	1
P15_H3	H3	L113/60.3	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_A4	A4	L107/95.3	12.5	20		NA	NA	NA	NA	2	NA
P15_B4	B4	L107/90.4.16	16	20		NA	NA	NA	NA	NA	NA
P15_C4	C4	L117/52.3	10	20	concentration below 20	NA	NA	NA	NA	1	NA
P15_D4	D4	N97A/32.5	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_E4	E4	L107/89.1.2	52.5	20		NA	NA	NA	NA	1	NA
P15_F4	F4	L107/93.2	52.5	20		NA	NA	NA	NA	1	1
P15_G4	G4	L117/52.2.5	10	20		NA	NA	NA	NA	1	1
P15_H4	H4	L113/60.4	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_A5	A5	L107/95.4	25	20		NA	NA	NA	NA	1	1
P15_B5	B5	L107/90.4.18	31.5	20		NA	NA	NA	NA	1	1
P15_C5	C5	N97A/30.1	10.5	20		NA	NA	NA	NA	NA	1
P15_D5	D5	L107/24.4	85	20		NA	NA	NA	NA	1	2
P15_E5	E5	L107/24.1.1	89.5	20		NA	NA	NA	NA	NA	NA
P15_F5	F5	L107/93.3	77.5	20		NA	NA	NA	NA	1	1
P15_G5	G5	L117/141.1	21	20		NA	NA	NA	NA	NA	NA
P15_H5	H5	L113/60.5	25.5	20		NA	NA	NA	NA	1	1
P15_A6	A6	L107/95.5	10	20	concentration below 20	NA	NA	NA	NA	1	NA
P15_B6	B6	L113/28.2	10	20	concentration below 20	NA	NA	NA	NA	NA	NA
P15_C6	C6	N97A/30.3	26.5	20		NA	NA	NA	NA	NA	1
P15_D6	D6	L107/24.1	117	20		NA	NA	NA	NA	1	NA
P15_E6	E6	L113/28.1	19	20		NA	NA	NA	NA	NA	NA
P15_F6	F6	L107/93.4	14.5	20		NA	NA	NA	NA	1	1
P15_G6	G6	L117/141.2	32	20		NA	NA	NA	NA	1	1
P15_H6	H6	L113/60.6	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_A7	A7	L117/52.4	21	20		NA	NA	NA	NA	1	1
P15_B7	B7	L113/28.4	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_C7	C7	N97A/30.4	20	20		NA	NA	NA	NA	NA	1
P15_D7	D7	L107/24.2	38.5	20		NA	NA	NA	NA	NA	NA
P15_E7	E7	L113/28.3	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_F7	F7	L107/93.5	22	20		NA	NA	NA	NA	NA	1
P15_G7	G7	L117/141.3	97.5	20		NA	NA	NA	NA	NA	NA
P15_H7	H7	L113/60.7	13	20		NA	NA	NA	NA	1	1
P15_A8	A8	L117/52.5	10	20	concentration below 20	NA	NA	NA	NA	NA	NA
P15_B8	B8	L113/28.5	15.5	20		NA	NA	NA	NA	1	1
P15_C8	C8	N97A/31.2	20.5	20		NA	NA	NA	NA	1	1
P15_D8	D8	L107/24.3	51	20		NA	NA	NA	NA	NA	NA
P15_E8	E8	L113/29.1	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_F8	F8	L117/52.2.4.2	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_G8	G8	L113/44.1	32	20		NA	NA	NA	NA	1	1
P15_H8	H8	N97A/23.1	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_A9	A9	L117/1.1	32.5	20		NA	NA	NA	NA	1	1
P15_B9	B9	L113/29.5	11	20		NA	NA	NA	NA	1	1
P15_C9	C9	N97A/31.3	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_D9	D9	L107/39.1	86.5	20		NA	NA	NA	NA	1	1
P15_E9	E9	L113/29.2	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_F9	F9	L117/52.2.4.3	48	20		NA	NA	NA	NA	1	1
P15_G9	G9	L113/44.2	41.5	20		NA	NA	NA	NA	1	1
P15_H9	H9	N97A/22.1	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_A10	A10	L117/65.1	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_B10	B10	L113/29.3	77.5	20		NA	NA	NA	NA	1	1
P15_C10	C10	N97A/31.4	22.5	20		NA	NA	NA	NA	1	1
P15_D10	D10	L107/39.3	91	20		NA	NA	NA	NA	1	1
P15_E10	E10	L113/80.1	23	20		NA	NA	NA	NA	NA	NA
P15_F10	F10	L117/52.2.4.4	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_G10	G10	L113/44.3	18.5	20		NA	NA	NA	NA	1	1
P15_H10	H10	N97A/22.2	16	20		NA	NA	NA	NA	1	1
P15_A11	A11	L113/62.1	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_B11	B11	L113/62.3	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_C11	C11	N97A/31.5	13	20		NA	NA	NA	NA	1	1
P15_D11	D11	L107/39.4	20	20		NA	NA	NA	NA	1	1
P15_E11	E11	L113/80.2	31	20		NA	NA	NA	NA	NA	NA
P15_F11	F11	L117/52.2.4.5	11	20		NA	NA	NA	NA	1	1
P15_G11	G11	L113/44.4	65.5	20		NA	NA	NA	NA	1	1
P15_H11	H11	negativecontrol	10	20	concentration below 20	NA	NA	NA	NA	NA	NA
P15_A12	A12	L113/62.2	10	20	concentration below 20	NA	NA	NA	NA	1	1
P15_B12	B12	L117/1.2	10	20		NA	NA	NA	NA	1	1
P15_C12	C12	N97A/32.1	15	20		NA	NA	NA	NA	1	1
